content_id,device_id,start,end
16,1,2016-01-01T00:00:01,2016-01-01T00:00:39
6,1,2016-01-01T00:00:39,2016-01-01T00:00:58
95,1,2016-01-01T00:00:58,2016-01-01T00:01:32
13,1,2016-01-01T00:01:32,2016-01-01T00:02:11
17,1,2016-01-01T00:02:11,2016-01-01T00:02:44
4,1,2016-01-01T00:02:44,2016-01-01T00:03:23
37,1,2016-01-01T00:03:23,2016-01-01T00:03:52
97,1,2016-01-01T00:03:52,2016-01-01T00:04:31
44,1,2016-01-01T00:04:31,2016-01-01T00:04:48
59,1,2016-01-01T00:04:48,2016-01-01T00:05:16
8,1,2016-01-01T00:05:16,2016-01-01T00:05:49
42,1,2016-01-01T00:05:49,2016-01-01T00:06:24
69,1,2016-01-01T00:06:24,2016-01-01T00:06:58
28,1,2016-01-01T00:06:58,2016-01-01T00:07:23
38,1,2016-01-01T00:07:23,2016-01-01T00:07:46
39,1,2016-01-01T00:07:46,2016-01-01T00:08:12
81,1,2016-01-01T00:08:12,2016-01-01T00:08:34
99,1,2016-01-01T00:08:34,2016-01-01T00:08:53
12,1,2016-01-01T00:08:53,2016-01-01T00:09:38
68,1,2016-01-01T00:09:38,2016-01-01T00:10:07
87,1,2016-01-01T00:10:07,2016-01-01T00:10:35
42,1,2016-01-01T00:10:35,2016-01-01T00:11:10
76,1,2016-01-01T00:11:10,2016-01-01T00:11:50
23,1,2016-01-01T00:11:50,2016-01-01T00:12:24
38,1,2016-01-01T00:12:24,2016-01-01T00:12:47
90,1,2016-01-01T00:12:47,2016-01-01T00:13:23
22,1,2016-01-01T00:13:23,2016-01-01T00:14:00
97,1,2016-01-01T00:14:00,2016-01-01T00:14:39
7,1,2016-01-01T00:14:39,2016-01-01T00:15:07
93,1,2016-01-01T00:15:07,2016-01-01T00:15:23
10,1,2016-01-01T00:15:23,2016-01-01T00:15:44
99,1,2016-01-01T00:15:44,2016-01-01T00:16:03
27,1,2016-01-01T00:16:03,2016-01-01T00:16:36
89,1,2016-01-01T00:16:36,2016-01-01T00:17:12
3,1,2016-01-01T00:17:12,2016-01-01T00:17:49
31,1,2016-01-01T00:17:49,2016-01-01T00:18:13
63,1,2016-01-01T00:18:13,2016-01-01T00:18:31
79,1,2016-01-01T00:18:31,2016-01-01T00:18:55
16,1,2016-01-01T00:18:55,2016-01-01T00:19:33
27,1,2016-01-01T00:19:33,2016-01-01T00:20:06
37,1,2016-01-01T00:20:06,2016-01-01T00:20:35
46,1,2016-01-01T00:20:35,2016-01-01T00:20:57
37,1,2016-01-01T00:20:57,2016-01-01T00:21:26
33,1,2016-01-01T00:21:26,2016-01-01T00:21:56
22,1,2016-01-01T00:21:56,2016-01-01T00:22:33
82,1,2016-01-01T00:22:33,2016-01-01T00:23:08
29,1,2016-01-01T00:23:08,2016-01-01T00:23:47
66,1,2016-01-01T00:23:47,2016-01-01T00:24:14
11,1,2016-01-01T00:24:14,2016-01-01T00:24:36
51,1,2016-01-01T00:24:36,2016-01-01T00:25:18
91,1,2016-01-01T00:25:18,2016-01-01T00:25:45
17,1,2016-01-01T00:25:45,2016-01-01T00:26:18
29,1,2016-01-01T00:26:18,2016-01-01T00:26:57
16,1,2016-01-01T00:26:57,2016-01-01T00:27:35
93,1,2016-01-01T00:27:35,2016-01-01T00:27:51
56,1,2016-01-01T00:27:51,2016-01-01T00:28:36
19,1,2016-01-01T00:28:36,2016-01-01T00:29:21
76,1,2016-01-01T00:29:21,2016-01-01T00:30:01
56,1,2016-01-01T00:30:01,2016-01-01T00:30:46
54,1,2016-01-01T00:30:46,2016-01-01T00:31:22
95,1,2016-01-01T00:31:22,2016-01-01T00:31:56
66,1,2016-01-01T00:31:56,2016-01-01T00:32:23
18,1,2016-01-01T00:32:23,2016-01-01T00:32:56
81,1,2016-01-01T00:32:56,2016-01-01T00:33:18
77,1,2016-01-01T00:33:18,2016-01-01T00:33:47
36,1,2016-01-01T00:33:47,2016-01-01T00:34:13
71,1,2016-01-01T00:34:13,2016-01-01T00:34:28
58,1,2016-01-01T00:34:28,2016-01-01T00:35:13
26,1,2016-01-01T00:35:13,2016-01-01T00:35:36
83,1,2016-01-01T00:35:36,2016-01-01T00:36:08
100,1,2016-01-01T00:36:08,2016-01-01T00:36:53
77,1,2016-01-01T00:36:53,2016-01-01T00:37:22
24,1,2016-01-01T00:37:22,2016-01-01T00:38:01
89,1,2016-01-01T00:38:01,2016-01-01T00:38:37
64,1,2016-01-01T00:38:37,2016-01-01T00:38:52
77,1,2016-01-01T00:38:52,2016-01-01T00:39:21
68,1,2016-01-01T00:39:21,2016-01-01T00:39:50
25,1,2016-01-01T00:39:50,2016-01-01T00:40:32
23,1,2016-01-01T00:40:32,2016-01-01T00:41:06
95,1,2016-01-01T00:41:06,2016-01-01T00:41:40
86,1,2016-01-01T00:41:40,2016-01-01T00:42:06
50,1,2016-01-01T00:42:06,2016-01-01T00:42:33
95,1,2016-01-01T00:42:33,2016-01-01T00:43:07
15,1,2016-01-01T00:43:07,2016-01-01T00:43:44
100,1,2016-01-01T00:43:44,2016-01-01T00:44:29
89,1,2016-01-01T00:44:29,2016-01-01T00:45:05
89,1,2016-01-01T00:45:05,2016-01-01T00:45:41
87,1,2016-01-01T00:45:41,2016-01-01T00:46:09
50,1,2016-01-01T00:46:09,2016-01-01T00:46:36
46,1,2016-01-01T00:46:36,2016-01-01T00:46:58
91,1,2016-01-01T00:46:58,2016-01-01T00:47:25
1,1,2016-01-01T00:47:25,2016-01-01T00:48:05
10,1,2016-01-01T00:48:05,2016-01-01T00:48:26
80,1,2016-01-01T00:48:26,2016-01-01T00:48:44
79,1,2016-01-01T00:48:44,2016-01-01T00:49:08
24,1,2016-01-01T00:49:08,2016-01-01T00:49:47
56,1,2016-01-01T00:49:47,2016-01-01T00:50:32
15,1,2016-01-01T00:50:32,2016-01-01T00:51:09
27,1,2016-01-01T00:51:09,2016-01-01T00:51:42
72,1,2016-01-01T00:51:42,2016-01-01T00:52:18
40,1,2016-01-01T00:52:18,2016-01-01T00:52:55
81,1,2016-01-01T00:52:55,2016-01-01T00:53:17
72,1,2016-01-01T00:53:17,2016-01-01T00:53:53
96,1,2016-01-01T00:53:53,2016-01-01T00:54:14
47,1,2016-01-01T00:54:14,2016-01-01T00:54:36
25,1,2016-01-01T00:54:36,2016-01-01T00:55:18
43,1,2016-01-01T00:55:18,2016-01-01T00:55:47
92,1,2016-01-01T00:55:47,2016-01-01T00:56:30
60,1,2016-01-01T00:56:30,2016-01-01T00:56:53
42,1,2016-01-01T00:56:53,2016-01-01T00:57:28
64,1,2016-01-01T00:57:28,2016-01-01T00:57:43
45,1,2016-01-01T00:57:43,2016-01-01T00:57:59
26,1,2016-01-01T00:57:59,2016-01-01T00:58:22
28,1,2016-01-01T00:58:22,2016-01-01T00:58:47
59,1,2016-01-01T00:58:47,2016-01-01T00:59:15
19,1,2016-01-01T00:59:15,2016-01-01T01:00:00
12,1,2016-01-01T01:00:00,2016-01-01T01:00:45
8,1,2016-01-01T01:00:45,2016-01-01T01:01:18
79,1,2016-01-01T01:01:18,2016-01-01T01:01:42
6,1,2016-01-01T01:01:42,2016-01-01T01:02:01
89,1,2016-01-01T01:02:01,2016-01-01T01:02:37
43,1,2016-01-01T01:02:37,2016-01-01T01:03:06
15,1,2016-01-01T01:03:06,2016-01-01T01:03:43
84,1,2016-01-01T01:03:43,2016-01-01T01:04:21
13,1,2016-01-01T01:04:21,2016-01-01T01:05:00
59,1,2016-01-01T01:05:00,2016-01-01T01:05:28
15,1,2016-01-01T01:05:28,2016-01-01T01:06:05
16,1,2016-01-01T01:06:05,2016-01-01T01:06:43
31,1,2016-01-01T01:06:43,2016-01-01T01:07:07
58,1,2016-01-01T01:07:07,2016-01-01T01:07:52
90,1,2016-01-01T01:07:52,2016-01-01T01:08:28
15,1,2016-01-01T01:08:28,2016-01-01T01:09:05
48,1,2016-01-01T01:09:05,2016-01-01T01:09:36
28,1,2016-01-01T01:09:36,2016-01-01T01:10:01
18,1,2016-01-01T01:10:01,2016-01-01T01:10:34
16,1,2016-01-01T01:10:34,2016-01-01T01:11:12
65,1,2016-01-01T01:11:12,2016-01-01T01:11:46
44,1,2016-01-01T01:11:46,2016-01-01T01:12:03
76,1,2016-01-01T01:12:03,2016-01-01T01:12:43
83,1,2016-01-01T01:12:43,2016-01-01T01:13:15
8,1,2016-01-01T01:13:15,2016-01-01T01:13:48
63,1,2016-01-01T01:13:48,2016-01-01T01:14:06
7,1,2016-01-01T01:14:06,2016-01-01T01:14:34
1,1,2016-01-01T01:14:34,2016-01-01T01:15:14
95,1,2016-01-01T01:15:14,2016-01-01T01:15:48
